epoch,train_loss,train_dice,val_loss,val_dice,val_iou
1,0.5310497403144836,0.6218229047954082,0.6128590305646261,0.9416048328081766,0.8897858063379923
2,0.421309632062912,0.9209346652030945,0.5168353319168091,0.8959778547286987,0.8118595083554586
3,0.38210431933403016,0.9492290019989014,0.43310954173405963,0.8658910592397054,0.7638346751530966
4,0.35154129564762115,0.9588195204734802,0.38385942578315735,0.926949163277944,0.8640143275260925
5,0.3289009094238281,0.9663831770420075,0.3385065992673238,0.9613734285036722,0.9257274866104126
6,0.30893326103687285,0.9742166757583618,0.3082074423631032,0.9627244472503662,0.9282611211140951
7,0.28819728195667266,0.9784768283367157,0.2846727967262268,0.9803505142529806,0.9614973862965902
8,0.2681862831115723,0.9823379993438721,0.2797844111919403,0.9887982209523519,0.9778608083724976
9,0.24742449969053268,0.9858436405658721,0.2721136709054311,0.985185960928599,0.9708322882652283
10,0.22541217803955077,0.9865248680114747,0.21950029333432516,0.9851764639218649,0.9708123803138733
11,0.20564788728952407,0.9857227861881256,0.18366599082946777,0.9909287095069885,0.9820326964060465
12,0.19130718261003493,0.9903406977653504,0.1699440876642863,0.9936631520589193,0.9874120553334554
13,0.1785693421959877,0.9909619212150573,0.16568212707837424,0.9945258498191833,0.9891140858332316
14,0.1669430837035179,0.9918696403503418,0.1579429010550181,0.9939117034276327,0.9879040519396464
15,0.15626978427171706,0.9929138660430908,0.1468361665805181,0.9931939244270325,0.9864901105562845
16,0.14636685252189635,0.9929505288600922,0.13809543351332346,0.994193951288859,0.9884617328643799
17,0.13734673261642455,0.993657523393631,0.13119064768155417,0.9933487176895142,0.9867939949035645
18,0.12839772775769234,0.9936426758766175,0.12356743961572647,0.9946091969807943,0.9892813960711161
19,0.12036155834794045,0.994321471452713,0.1149737536907196,0.9952995578447977,0.990646501382192
20,0.11331065222620965,0.9950592815876007,0.1100647250811259,0.9954325755437216,0.9909098347028097
21,0.10672843530774116,0.9943019330501557,0.10014655689398448,0.995491107304891,0.9910253882408142
22,0.10044795200228691,0.9948050677776337,0.09724334379037221,0.9961739182472229,0.992379625638326
23,0.09424942955374718,0.9947679340839386,0.08984433859586716,0.9949460029602051,0.9899473388989767
24,0.08959784731268883,0.9942509829998016,0.08639490356047948,0.996126671632131,0.9922852913538615
25,0.08374568298459054,0.9950694382190705,0.07916651169459026,0.9953608512878418,0.9907678365707397
26,0.0792092315852642,0.9954012155532836,0.07909313837687175,0.996183971563975,0.9923993746439616
27,0.07476806193590164,0.9957281649112701,0.07372976591189702,0.993480384349823,0.9870534539222717
28,0.07072074115276336,0.9956920921802521,0.06865190962950389,0.9953450957934061,0.9907370607058207
29,0.06689455360174179,0.995504480600357,0.06517030795415242,0.9955151478449503,0.9910732905069987
30,0.06351850926876068,0.9961550414562226,0.062331909934679665,0.996767540772756,0.9935591022173563
31,0.0600576788187027,0.9960863769054413,0.05853671456376711,0.9962406357129415,0.9925127228101095
32,0.056885235384106635,0.99635528922081,0.05555422852436701,0.9967816869417826,0.9935869773228964
33,0.054139038920402525,0.9965362429618836,0.05299907550215721,0.9967561960220337,0.993536372979482
34,0.051589738205075265,0.9962578654289246,0.04940542454520861,0.9966768225034078,0.9933785597483317
35,0.04911013282835484,0.9966348290443421,0.04822744925816854,0.9965282281239828,0.9930831591288248
36,0.04678002782166004,0.9963630795478821,0.045372799038887024,0.9963441689809164,0.992717961470286
37,0.04479983299970627,0.9964017629623413,0.044213334719340004,0.996910572052002,0.9938433170318604
38,0.04272082895040512,0.9964447736740112,0.04175637662410736,0.9965421756108602,0.9931113322575887
39,0.040534453094005586,0.9970350503921509,0.03948895136515299,0.9970905780792236,0.9942009250322977
40,0.038933096826076506,0.996471905708313,0.037684351205825806,0.9966935912768046,0.9934116204579672
