epoch,train_loss,train_dice,val_loss,val_dice,val_iou
1,0.7659319758415222,0.5149073146283627,0.8511282205581665,0.8312474489212036,0.7119011878967285
2,0.7050616204738617,0.7869304597377778,0.7688697377840678,0.7508586247762045,0.6022482713063558
3,0.6848931729793548,0.8655249059200287,0.708589772383372,0.867553174495697,0.7668125828107198
4,0.6706225514411926,0.8999119102954865,0.7025275429089864,0.8609402775764465,0.7563331723213196
5,0.656279695034027,0.9170010387897491,0.7284818887710571,0.891335666179657,0.8046373923619589
6,0.6377826571464539,0.9197225153446198,0.6680331428845724,0.8951817154884338,0.8117412527402242
7,0.6095572531223297,0.9295312762260437,0.7153858542442322,0.9649557669957479,0.9325162370999655
8,0.5943714141845703,0.9448948264122009,0.6955293218294779,0.4934532642364502,0.41254563132921857
9,0.568579375743866,0.9521280229091644,0.6721178889274597,0.964935819307963,0.9328062733014425
10,0.5494478166103363,0.9628196001052857,0.6225173473358154,0.9746134281158447,0.9507094422976176
11,0.5309033393859863,0.9626195013523102,0.5372612873713175,0.9720152020454407,0.9456958969434103
12,0.5085986256599426,0.9726696729660034,0.5387376149495443,0.9642149011294047,0.9318107565244039
13,0.49123660922050477,0.9705095231533051,0.4699535171190898,0.9855895042419434,0.9716818531354269
14,0.47024646401405334,0.9754091441631317,0.6614165107409159,0.9181591073671976,0.8548017740249634
15,0.45440033078193665,0.9799033582210541,0.6206870277722677,0.982742448647817,0.9662047028541565
16,0.43338246941566466,0.9820455372333526,0.5366013447443644,0.9853005210558573,0.971224049727122
17,0.40834096670150755,0.9834526062011719,0.49132851759592694,0.97201540072759,0.9460877577463785
18,0.39476585388183594,0.9843704342842102,0.3956051667531331,0.993845522403717,0.987784743309021
19,0.3709835886955261,0.9874577105045319,0.5217124621073405,0.9760273098945618,0.9537144899368286
20,0.35033870935440065,0.9876098036766052,0.4510189692179362,0.9864483078320821,0.9735340078671774
21,0.33467753529548644,0.9848581254482269,0.4183654983838399,0.9764052828152975,0.954408864180247
22,0.3132275402545929,0.9870879650115967,0.3705381155014038,0.9915541609128317,0.983327329158783
23,0.29490625858306885,0.9918570160865784,0.33481911818186444,0.9930634101231893,0.986230194568634
24,0.2734358787536621,0.9902447402477265,0.34902159372965497,0.9880948662757874,0.9765206972757975
25,0.25332865715026853,0.993024343252182,0.312938928604126,0.9936107794443766,0.9873068531354269
26,0.2322731852531433,0.9929914474487305,0.25094127655029297,0.9955684741338094,0.9911802609761556
27,0.21550013422966002,0.99347283244133,0.25364712874094647,0.9941165049870809,0.9883043964703878
28,0.19104735255241395,0.9935859382152558,0.17864006757736206,0.996111532052358,0.9922553499539694
29,0.17099819779396058,0.9932443797588348,0.161195437113444,0.9962180058161417,0.9924666285514832
30,0.15786131620407104,0.9930106401443481,0.15345078706741333,0.9959519306818644,0.9919386704762777
31,0.1381923019886017,0.9941076338291168,0.12950807809829712,0.9956031640370687,0.9912463227907816
32,0.12042127847671509,0.9946157336235046,0.14102131128311157,0.993703822294871,0.9874984423319498
33,0.10897595882415771,0.994559645652771,0.12253791093826294,0.994019607702891,0.988121231396993
34,0.10011000037193299,0.9943863093852997,0.10719778140385945,0.9954936703046163,0.9910315076510111
35,0.09178074598312377,0.9944867491722107,0.09947341680526733,0.9949298699696859,0.9899163047472636
36,0.08027790188789367,0.9950100481510162,0.0837218165397644,0.9939736922581991,0.988028864065806
37,0.07602227926254272,0.9945993065834046,0.07790396610895793,0.9960897366205851,0.9922134081522623
38,0.06907520294189454,0.9951694667339325,0.0732721487681071,0.9963624278704325,0.9927537043889364
39,0.061887866258621214,0.9959466218948364,0.06802457571029663,0.9959946870803833,0.9920240044593811
40,0.05855865478515625,0.9956730723381042,0.053466975688934326,0.996117909749349,0.9922687609990438
