epoch,train_loss,train_dice,val_loss,val_dice,val_iou
1,1.3029398441314697,0.6000022791326046,1.466408332188924,0.9236191113789877,0.8583520452181498
2,1.139838194847107,0.8868692517280579,1.2950923840204875,0.8604949911435446,0.7556334733963013
3,1.0819095015525817,0.9249173939228058,1.1823783715565999,0.8452385663986206,0.7325412034988403
4,1.0431588232517242,0.9437700986862183,1.0667753219604492,0.8992352286974589,0.8172739744186401
5,1.006120240688324,0.9513316750526428,1.0160637299219768,0.9181082447369894,0.8489040931065878
6,0.9608778297901154,0.9606460452079773,0.885533849398295,0.9550062417984009,0.9141061107317606
7,0.8961376547813416,0.9601130187511444,0.779093861579895,0.9887291789054871,0.9777142802874247
8,0.8485637307167053,0.9728010535240174,0.785053571065267,0.9920311768849691,0.9841939012209574
9,0.8134421408176422,0.9786750674247742,0.79263303677241,0.9841607213020325,0.9688464601834615
10,0.7807474672794342,0.983489191532135,0.7546970248222351,0.9830513397852579,0.9667070905367533
11,0.749159163236618,0.9817057073116302,0.7423369685808817,0.9856414794921875,0.9717289408047994
12,0.7168199598789216,0.9865676879882812,0.7131691972414652,0.990639348824819,0.9814720948537191
13,0.685606575012207,0.9884113669395447,0.6855140924453735,0.9907286167144775,0.9816479086875916
14,0.6550982475280762,0.9889139831066132,0.6650822957356771,0.9927557706832886,0.9856282472610474
15,0.6256155729293823,0.9904308140277862,0.6396164298057556,0.9903612732887268,0.9809315005938212
16,0.596232894062996,0.990433007478714,0.6013815800348917,0.992522120475769,0.9851658741633097
17,0.5678577780723572,0.9916584193706512,0.5741537610689799,0.9906883438428243,0.981565515200297
18,0.5384758889675141,0.9916593909263611,0.5596330165863037,0.9928024808565775,0.9857175548871359
19,0.5103771567344666,0.9927260220050812,0.521845817565918,0.9944880406061808,0.9890409310658773
20,0.48439928889274597,0.9937016904354096,0.5025253395239512,0.9922767480214437,0.9846814274787903
21,0.4589911103248596,0.993273264169693,0.46433572967847186,0.9935188492139181,0.9871265689531962
22,0.4336578071117401,0.9940376818180084,0.44340930382410687,0.9916970531145731,0.9835416475931803
23,0.4078048378229141,0.9939152061939239,0.4344379206498464,0.9961633682250977,0.992358386516571
24,0.3874798074364662,0.993137800693512,0.4114439785480499,0.9932055075963339,0.9865115682284037
25,0.36120294630527494,0.9946636080741882,0.36049214005470276,0.9956897695859274,0.9914189577102661
26,0.3398489087820053,0.9954071164131164,0.35138752063115436,0.9936090310414633,0.9873062570889791
27,0.3189906045794487,0.9946128308773041,0.3398752609888713,0.9962044556935629,0.9924400846163431
28,0.29861609637737274,0.9956041753292084,0.3012778162956238,0.9955521821975708,0.9911474784215292
29,0.2789421319961548,0.9960450947284698,0.31679580609003705,0.9961108366648356,0.9922554095586141
30,0.26222058534622195,0.9957097828388214,0.2654661039511363,0.992536465326945,0.9851957360903422
31,0.24485488086938859,0.995415449142456,0.28111693263053894,0.9951375325520834,0.990327517191569
32,0.22767696678638458,0.995964777469635,0.2532590577999751,0.9966874321301779,0.993399441242218
33,0.21243702322244645,0.9958398580551148,0.24486824373404184,0.9960810542106628,0.9921951492627462
34,0.19975314736366273,0.9952339470386505,0.23025808731714884,0.9943950374921163,0.9888561765352885
35,0.18694454655051232,0.9954563260078431,0.2103672424952189,0.9965393940607706,0.9931046764055887
36,0.1727183312177658,0.9957742393016815,0.19177008668581644,0.9955501556396484,0.991144061088562
37,0.1624097354710102,0.9960525512695313,0.16720251739025116,0.9962615966796875,0.9925539294878641
38,0.15055039823055266,0.9959275007247925,0.15518434842427573,0.9968230326970419,0.9936678409576416
39,0.13852280080318452,0.9968930304050445,0.15630613267421722,0.9971243143081665,0.9942664901415507
40,0.13154711499810218,0.9961917042732239,0.14829684793949127,0.996876041094462,0.9937738180160522
